,Ligand,Concentration,Animal,Cell,Predicted
249,hIL13,-8.057128747491639,Human,Fibroblast,0.6987717934483458
250,hIL13,-8.035986172541808,Human,Fibroblast,0.7019787226901424
251,hIL13,-8.014843597591973,Human,Fibroblast,0.7051063915121578
252,hIL13,-7.993701022642141,Human,Fibroblast,0.7081556804452104
253,hIL13,-7.972558447692308,Human,Fibroblast,0.711127496691683
254,hIL13,-7.9514158727424755,Human,Fibroblast,0.7140227728717261
255,hIL13,-7.930273297792643,Human,Fibroblast,0.7168424658151256
256,hIL13,-7.90913072284281,Human,Fibroblast,0.7195875553935276
257,hIL13,-7.887988147892977,Human,Fibroblast,0.7222590433876587
258,hIL13,-7.866845572943144,Human,Fibroblast,0.7248579523841278
259,hIL13,-7.845702997993311,Human,Fibroblast,0.7273853246964912
260,hIL13,-7.824560423043478,Human,Fibroblast,0.7298422213052739
261,hIL13,-7.803417848093646,Human,Fibroblast,0.7322297208118868
262,hIL13,-7.782275273143813,Human,Fibroblast,0.7345489184015118
263,hIL13,-7.761132698193981,Human,Fibroblast,0.7368009248103374
264,hIL13,-7.739990123244148,Human,Fibroblast,0.7389868652928425
265,hIL13,-7.718847548294315,Human,Fibroblast,0.7411078785852029
266,hIL13,-7.697704973344482,Human,Fibroblast,0.7431651158613113
267,hIL13,-7.676562398394649,Human,Fibroblast,0.7451597396783782
268,hIL13,-7.6554198234448165,Human,Fibroblast,0.7470929229095721
269,hIL13,-7.634277248494984,Human,Fibroblast,0.7489658476620751
270,hIL13,-7.613134673545151,Human,Fibroblast,0.7507797041782439
271,hIL13,-7.591992098595318,Human,Fibroblast,0.7525356897202633
272,hIL13,-7.570849523645485,Human,Fibroblast,0.754235007437239
273,hIL13,-7.549706948695652,Human,Fibroblast,0.7558788652154537
274,hIL13,-7.528564373745819,Human,Fibroblast,0.7574684745127283
275,hIL13,-7.5074217987959875,Human,Fibroblast,0.7590050491784639
276,hIL13,-7.486279223846155,Human,Fibroblast,0.7604898042614796
277,hIL13,-7.465136648896322,Human,Fibroblast,0.7619239548082885
278,hIL13,-7.443994073946489,Human,Fibroblast,0.7633087146549142
279,hIL13,-7.422851498996656,Human,Fibroblast,0.7646452952157804
280,hIL13,-7.401708924046823,Human,Fibroblast,0.7659349042735546
281,hIL13,-7.38056634909699,Human,Fibroblast,0.7671787447741482
282,hIL13,-7.3594237741471575,Human,Fibroblast,0.7683780136312871
283,hIL13,-7.338281199197325,Human,Fibroblast,0.7695339005452463
