,Cell,Animal,Predicted,Ligand,Concentration
202,Monocyte,Human,0.43891490062699695,hIL13,-9.381450866755852
203,Monocyte,Human,0.4510052646715712,hIL13,-9.359004156789297
204,Monocyte,Human,0.46314898678073635,hIL13,-9.336557446822741
205,Monocyte,Human,0.47533253569767714,hIL13,-9.314110736856186
206,Monocyte,Human,0.4875422286638839,hIL13,-9.291664026889631
207,Monocyte,Human,0.49976428803223966,hIL13,-9.269217316923076
208,Monocyte,Human,0.5119848984596256,hIL13,-9.24677060695652
209,Monocyte,Human,0.5241902642222487,hIL13,-9.224323896989965
210,Monocyte,Human,0.5363666661993556,hIL13,-9.20187718702341
211,Monocyte,Human,0.5485005180788193,hIL13,-9.179430477056856
212,Monocyte,Human,0.5605784213510489,hIL13,-9.156983767090301
213,Monocyte,Human,0.5725872186754303,hIL13,-9.134537057123746
214,Monocyte,Human,0.5845140452257679,hIL13,-9.11209034715719
215,Monocyte,Human,0.5963463776474355,hIL13,-9.089643637190635
216,Monocyte,Human,0.6080720802888026,hIL13,-9.06719692722408
217,Monocyte,Human,0.61967944840246,hIL13,-9.044750217257524
218,Monocyte,Human,0.6311572480473004,hIL13,-9.02230350729097
219,Monocyte,Human,0.642494752460118,hIL13,-8.999856797324416
220,Monocyte,Human,0.6536817747045702,hIL13,-8.97741008735786
221,Monocyte,Human,0.6647086964454899,hIL13,-8.954963377391305
222,Monocyte,Human,0.6755664927372454,hIL13,-8.93251666742475
223,Monocyte,Human,0.6862467527554744,hIL13,-8.910069957458195
224,Monocyte,Human,0.696741696441666,hIL13,-8.88762324749164
225,Monocyte,Human,0.7070441870692371,hIL13,-8.865176537525084
226,Monocyte,Human,0.7171477397774425,hIL13,-8.842729827558529
227,Monocyte,Human,0.7270465261553266,hIL13,-8.820283117591973
228,Monocyte,Human,0.7367353749915954,hIL13,-8.797836407625418
229,Monocyte,Human,0.7462097693371574,hIL13,-8.775389697658863
230,Monocyte,Human,0.7554658400554973,hIL13,-8.752942987692307
231,Monocyte,Human,0.7645003560608022,hIL13,-8.730496277725752
232,Monocyte,Human,0.7733107114655917,hIL13,-8.708049567759197
233,Monocyte,Human,0.7818949098777473,hIL13,-8.685602857792642
234,Monocyte,Human,0.7902515461014742,hIL13,-8.663156147826086
235,Monocyte,Human,0.7983797855077448,hIL13,-8.640709437859531
236,Monocyte,Human,0.8062793413472253,hIL13,-8.618262727892976
237,Monocyte,Human,0.8139504502826173,hIL13,-8.59581601792642
238,Monocyte,Human,0.8213938464179212,hIL13,-8.573369307959865
239,Monocyte,Human,0.8286107340995044,hIL13,-8.55092259799331
240,Monocyte,Human,0.8356027597582476,hIL13,-8.528475888026755
241,Monocyte,Human,0.8423719830537427,hIL13,-8.5060291780602
242,Monocyte,Human,0.8489208475707538,hIL13,-8.483582468093644
243,Monocyte,Human,0.8552521513053061,hIL13,-8.461135758127089
244,Monocyte,Human,0.8613690171630967,hIL13,-8.438689048160535
245,Monocyte,Human,0.8672748636768206,hIL13,-8.41624233819398
246,Monocyte,Human,0.8729733761317486,hIL13,-8.393795628227425
247,Monocyte,Human,0.8784684782708764,hIL13,-8.37134891826087
248,Monocyte,Human,0.883764304732432,hIL13,-8.348902208294314
249,Monocyte,Human,0.8888651743538373,hIL13,-8.326455498327759
250,Monocyte,Human,0.8937755644576105,hIL13,-8.304008788361203
251,Monocyte,Human,0.8985000862164285,hIL13,-8.281562078394648
252,Monocyte,Human,0.9030434611768717,hIL13,-8.259115368428095
253,Monocyte,Human,0.9074104990044183,hIL13,-8.23666865846154
254,Monocyte,Human,0.911606076496208,hIL13,-8.214221948494984
255,Monocyte,Human,0.9156351178931108,hIL13,-8.191775238528429
256,Monocyte,Human,0.9195025765087431,hIL13,-8.169328528561874
257,Monocyte,Human,0.9232134176804208,hIL13,-8.146881818595318
258,Monocyte,Human,0.9267726030356059,hIL13,-8.124435108628763
259,Monocyte,Human,0.9301850760572313,hIL13,-8.101988398662208
260,Monocyte,Human,0.9334557489223722,hIL13,-8.079541688695652
261,Monocyte,Human,0.9365894905810335,hIL13,-8.057094978729097
262,Monocyte,Human,0.939591116035313,hIL13,-8.034648268762542
263,Monocyte,Human,0.9424653767738146,hIL13,-8.012201558795987
264,Monocyte,Human,0.9452169523118643,hIL13,-7.989754848829431
265,Monocyte,Human,0.9478504427847442,hIL13,-7.967308138862876
266,Monocyte,Human,0.9503703625387407,hIL13,-7.944861428896321
267,Monocyte,Human,0.9527811346631972,hIL13,-7.922414718929765
268,Monocyte,Human,0.9550870864059133,hIL13,-7.89996800896321
269,Monocyte,Human,0.9572924454140281,hIL13,-7.877521298996656
270,Monocyte,Human,0.9594013367429183,hIL13,-7.8550745890301
271,Monocyte,Human,0.9614177805765107,hIL13,-7.832627879063545
272,Monocyte,Human,0.9633456906037272,hIL13,-7.81018116909699
273,Monocyte,Human,0.9651888729974323,hIL13,-7.7877344591304345
274,Monocyte,Human,0.9669510259442096,hIL13,-7.765287749163879
275,Monocyte,Human,0.9686357396754728,hIL13,-7.742841039197324
276,Monocyte,Human,0.9702464969527732,hIL13,-7.720394329230769
